TA,Drug,Drug.generic,Primary.therapeutic.area,Primary.disease,Route,Budget.impact,CostNomin,CostNoeffectiveness,high.unmet.need.,STA.type...PBAC.,Eligible.patient.count,G.BA.Assessment.Date..new.,PBAC.decision.date,time.from.GBA.to.PBS.listing,First.listing.date...edited..new.
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Moderate,No,Yes,No,Extension of indication,NA,1/01/2018,17/08/2018,455,1/04/2019
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Moderate,No,No,No,Extension of indication,NA,1/08/2016,16/12/2016,243,1/04/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Moderate,No,Yes,No,Original,NA,1/12/2012,2/03/2015,1582,1/04/2017
Blood Cancer,Adcetris,brentuximab vedotin,Oncology,Lymphoma,Parenteral,Moderate,No,Yes,Yes,Original,NA,1/12/2012,25/04/2014,730,1/12/2014
Cardiovascular,Adempas,riociguat,Cardiovascular,Pulmonary heart diseases,Oral,Moderate,No,No,No,Extension of indication,10000,1/05/2014,1/11/2014,976,1/01/2017
Lung cancer,Alecensa,alectinib,Oncology,Lung cancer,Oral,Moderate,Yes,No,No,Original,NA,1/05/2017,18/08/2017,245,1/01/2018
Lung cancer,Alunbrig,brigatinib,Oncology,Lung cancer,Oral,Moderate,Yes,No,No,Original,NA,1/01/2019,20/12/2019,486,1/05/2020
Skin cancer,Bavencio,avelumab,Oncology,Skin cancer,Parenteral,High,No,Yes,Yes,Original,NA,1/10/2017,17/08/2018,577,1/05/2019
Blood Cancer,Besponsa,inotuzumab ozogamicin,Oncology,Leukemia,Parenteral,Low,Yes,No,Yes,Original,NA,1/07/2017,14/12/2018,669,1/05/2019
Blood Cancer,Blincyto,blinatumomab,Oncology,Leukemia,Parenteral,Low,No,No,Yes,Extension of indication,NA,1/02/2019,14/06/2019,242,1/10/2019
