TA,Drug,Drug.generic,Primary.therapeutic.area,Primary.disease,Route,Budget.impact,Cost.min,Cost.effectiveness,high.unmet.need.,STA.type...PBAC.,Eligible.patient.count,G.BA.Assessment.Date..new.,PBAC.decision.date,time.from.GBA.to.PBS.listing,First.listing.date...edited..new.
Endocrine and metabolic diseases,Abasaglar,insulin glargine,Endocrine and metabolic diseases,Diabetes,Parenteral,High,Yes,No,No,Extension of indication,NA,-,42065,-,indication not listed
Cardiovascular,Adempas,riociguat,Cardiovascular,Pulmonary heart diseases,Oral,Moderate,Yes,No,No,Original,10000,41760,41699,-,indication not listed
Migraine,Aimovig,erenumab,Central nervous system,Migraine,Parenteral,High,No,Yes,No,Original,400000,43405,43329,-,indication not listed
Respiratory,AirFluSal Forspiro,salmeterol + fluticasone,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,No,No,No,Original,NA,-,42720,-,indication not listed
Migraine,Ajovy,fremanezumab,Central nervous system,Migraine,Parenteral,Low,Yes,Yes,No,Original,NA,43586,43819,-,indication not listed
Respiratory,Anoro Ellipta,vilanterol + umeclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,No,No,No,Extension of indication,50000,41821,41962,-,indication not listed
Respiratory,Anoro Ellipta,vilanterol + umeclidinium bromide,Respiratory,Obstructive respiratory disorders,Inhalation,Moderate,Yes,No,No,Original,50000,41821,41699,-,indication not listed
Blood Cancer,Aplidin,plitidepsin,Oncology,Plasmocytoma,Parenteral,High,Yes,Yes,No,Original,NA,-,43700,-,indication not listed
Parkinson's disease,Apomine,apomorphine,Central nervous system,Parkinson's disease,Parenteral,Low,No,No,No,Extension of indication,NA,-,43945,-,indication not listed
Endocrine and metabolic diseases,Arginine Easy,arginine hydrochloride,Endocrine and metabolic diseases,Aminoacid disorders,Oral,Moderate,No,No,No,Original,NA,-,43084,-,indication not listed
Respiratory,Arnuity Ellipta,fluticasone furoate,Respiratory,Obstructive respiratory disorders,Inhalation,Low,Yes,No,No,Original,NA,39508,42311,-,indication not listed
Endocrine and metabolic diseases,Atozet Composite Pack,atorvastatin + ezetimibe,Endocrine and metabolic diseases,Dyslipidemia,0,Moderate,No,No,No,Original,NA,-,41946,-,indication not listed
Demyelinating disorders,Avonex,interferon beta-1a,Central nervous system,Demyelinating disorders,0,Low,No,No,No,Extension of indication,NA,-,41754,-,indication not listed
Renal cancer,Bavencio,avelumab,Oncology,Renal cancer,Parenteral,Moderate,No,No,No,Extension of indication,NA,43800,43945,-,indication not listed
Blood Cancer,Besponsa,inotuzumab ozogamicin,Oncology,Leukemia,Parenteral,Low,No,No,Yes,Extension of indication,NA,42917,43630,-,indication not listed
Skin cancer,"Braftovi, Mektovi","encorafenib, binimetinib",Oncology,Skin cancer,Oral,Moderate,Yes,No,No,Original,NA,-,43448,-,indication not listed
Respiratory,Breo Ellipta,fluticasone furoate + vilanterol,Respiratory,Obstructive respiratory disorders,Inhalation,High,Yes,No,No,Original,NA,41640,41754,-,indication not listed
Convulsions,Briviact,brivaracetam,Central nervous system,Convulsions,Oral,Low,No,No,Yes,Extension of indication,NA,42401,43819,-,indication not listed
Epilepsy,Briviact,brivaracetam,Central nervous system,Epilepsy,Oral,Low,Yes,No,No,Original,NA,42401,42601,-,indication not listed
