Name,Function_formula,Function,Level_1,Level_2_1,Level_2_2,Level_2_3,Level_2_4
B&M Val,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val % Mkt Shr,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Comp,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Comp Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Mkt,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Mkt Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val PI,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Prod,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Prod Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val % Mkt Shr,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Comp,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Comp Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Mkt,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
