Col_Names	Row_Count	Col_Name_PBI	To_Hide
FCC	791	FCC	1
PFC	791	PFC	0
Active_Ingredient	791	Active Ingredient	0
Active_Ingredient_1	0	Active Ingredient 1	1
Active_Ingredient_2	0	Active Ingredient 2	1
Active_Ingredient_3	0	Active Ingredient 3	1
Active_Ingredient_4	0	Active Ingredient 4	1
Additional_Benefit_Claim	0	Additional Benefit Claim	1
Adult	0	Adult	1
Age	403	Age	0
Age_Range	0	Age Range	1
Age_Target	0	Age Target	1
Allergy_Type	0	Allergy Type	1
Analgesic_Base	0	Analgesic Base	1
APN	784	APN	0
Application	0	Application	1
Application_Site	0	Application Site	1
Aspirin_Dosage	0	Aspirin Dosage	1
Base_Premium	0	Base Premium	1
Basic_Specialist	0	Basic Specialist	1
Benefit	0	Benefit	1
Brand	791	Brand	0
Sub_Brand	791	Sub Brand	0
Brand_Type	791	Brand Type	0
Client_Base_Brands	0	Client Base Brands	1
Category	791	Category	0
Sub_Category	186	Sub Category	0
Basic_Specialist_Subcategory	0	Basic Specialist Subcategory	1
CGP	0	CGP	1
Channel	791	Channel	0
Claim	0	Claim	1
Class	0	Class	1
Client_Code	52	Client Code	0
Client_Manufacturer	0	Client Manufacturer	1
Client_Name	791	Client Name	0
Client_Number	791	Client Number	0
Client_Reference	0	Client Reference	1
Combination_Anesthesia	0	Combination Anesthesia	1
Competitor	0	Competitor	1
Consumer	0	Consumer	1
Cough_Type	0	Cough Type	1
Day_Night	0	Day Night	1
Drug_Class	0	Drug Class	1
Duration	0	Duration	1
First_Transaction_Date	776	First Transaction Date	0
Flavour	0	Flavour	1
Flavour_Type	0	Flavour Type	1
Form	605	Form	0
Format	0	Format	1
Gender	0	Gender	1
Generic	0	Generic	1
Generic_Brand	0	Generic Brand	1
GGP	0	GGP	1
Gift_Pack	0	Gift Pack	1
Hypoallergenic_Claim	0	Hypoallergenic Claim	1
If_PBS_or_Not	0	If PBS or Not	1
Ingredient_Standard	0	Ingredient Standard	1
Ingredient_Type	0	Ingredient Type	1
Iron_Claim	0	Iron Claim	1
IU	0	IU	1
Lactose_Claim	0	Lactose Claim	1
Manufacturer	791	Manufacturer	0
Market_Name	791	Market Name	0
Market_Number	0	Market Number	1
Medicated_Item	0	Medicated Item	1
Milk_Source	0	Milk Source	1
Milk_Type	0	Milk Type	1
Multipack	0	Multipack	1
Nicotine_Level	0	Nicotine Level	1
No_in_Multipack	0	No in Multipack	1
Number_of_Items_in_Pack	0	Number of Items in Pack	1
Odourless	0	Odourless	1
