Col_Names	Row_Count	Col_Name_PBI	To_Hide	Group
PFC	791	PFC	0	1. Common Attributes
Active_Ingredient	791	Active Ingredient	0	1. Common Attributes
APN	784	APN	0	1. Common Attributes
Brand	791	Brand	0	1. Common Attributes
Sub_Brand	791	Sub Brand	0	1. Common Attributes
Category	791	Category	0	1. Common Attributes
Sub_Category	186	Sub Category	0	1. Common Attributes
Form	605	Form	0	1. Common Attributes
Manufacturer	791	Manufacturer	0	1. Common Attributes
Pack_Long_Name	791	Pack Long Name	0	1. Common Attributes
Pack_Size	403	Pack Size	0	1. Common Attributes
Practitioner	0	Practitioner	1	1. Common Attributes
Product_Form	0	Product Form	1	1. Common Attributes
Segment	791	Segment	0	1. Common Attributes
Sub_Segment	791	Sub Segment	0	1. Common Attributes
Target_Consumer	0	Target Consumer	1	1. Common Attributes
Product_Ownership	791	Product Ownership	0	1. Common Attributes
Gift_Pack	0	Gift Pack	1	2. Pack Related Attributes
Multipack	0	Multipack	1	2. Pack Related Attributes
No_in_Multipack	0	No in Multipack	1	2. Pack Related Attributes
Number_of_Items_in_Pack	0	Number of Items in Pack	1	2. Pack Related Attributes
Pack_Range	0	Pack Range	1	2. Pack Related Attributes
Pack_Type	0	Pack Type	1	2. Pack Related Attributes
Prepack	0	Prepack	1	2. Pack Related Attributes
Pack_Name	791	Pack Name	1	2. Pack Related Attributes
Pack_Launch_Date	791	Pack Launch Date	1	2. Pack Related Attributes
Size	589	Size	0	2. Pack Related Attributes
Allergy_Type	0	Allergy Type	1	3. Product Specific
Analgesic_Base	0	Analgesic Base	1	3. Product Specific
Aspirin_Dosage	0	Aspirin Dosage	1	3. Product Specific
Combination_Anesthesia	0	Combination Anesthesia	1	3. Product Specific
Cough_Type	0	Cough Type	1	3. Product Specific
Hypoallergenic_Claim	0	Hypoallergenic Claim	1	3. Product Specific
Iron_Claim	0	Iron Claim	1	3. Product Specific
IU	0	IU	1	3. Product Specific
Lactose_Claim	0	Lactose Claim	1	3. Product Specific
Milk_Source	0	Milk Source	1	3. Product Specific
Milk_Type	0	Milk Type	1	3. Product Specific
Nicotine_Level	0	Nicotine Level	1	3. Product Specific
Organic	0	Organic	1	3. Product Specific
Organic_Claim	0	Organic Claim	1	3. Product Specific
Pain_State	0	Pain State	1	3. Product Specific
Probiotic	0	Probiotic	1	3. Product Specific
Protein_Content	0	Protein Content	1	3. Product Specific
Pregnancy_Segment	0	Pregnancy Segment	1	3. Product Specific
Sensitive_Claim	0	Sensitive Claim	1	3. Product Specific
Skin_Type	0	Skin Type	1	3. Product Specific
SPF	0	SPF	1	3. Product Specific
Sugar_Free_Claim	0	Sugar Free Claim	1	3. Product Specific
Topical_Corticosteroids_Type	0	Topical Corticosteroids Type	1	3. Product Specific
